artist,track_id,title,youtube_url,start_time_sec,duration_sec
billie,billie_001,Bored (Official Audio),https://youtu.be/Q2WcdaF8uL8?si=5lgMRHzd6RxnY9Hz,45,15
billie,billie_002,Ocean Eyes (Official Music Video),https://youtu.be/viimfQi_pUw?si=Gsyeh3xl-V6olDbK,45,15
billie,billie_003,Six Feet Under (Lyrics),https://youtu.be/HZgiAgYXneE?si=HOMKTs6X9KIu5TFD,45,15
billie,billie_004,TV (Official Lyric Video),https://youtu.be/_JGGLJMpVks?si=Lcp_N3L-u5zhICx8,45,15
billie,billie_005,come out and play (Official Audio),https://youtu.be/xXFdnHiGwos?si=damefnutpsKF5Wrv,45,15
billie,billie_006,everything i wanted (Official Audio),https://youtu.be/qCTMq7xvdXU?si=k2-jAXHcwEbc8fcm,45,15
billie,billie_007,hostage (Official Audio),https://youtu.be/p9sUkJry_XA?si=zFlxvH9CVwuq2c7v,45,15
billie,billie_008,Billie Eilish - ilomilo (Official Audio),https://youtu.be/-e7wiyNO2us?si=28yXr4HsisNzN0DD,45,15
billie,billie_009,Billie Eilish - lovely (with Khalid) Audio,https://youtu.be/wjj2upnfBI0?si=-DddXfZyINIvF9j8,45,15
billie,billie_010,Billie Eilish - broken hearts (Official Audio),https://youtu.be/qpQSjf-0Lc8?si=BrvmmVY-rlXnNC4_,45,15
billie,billie_011,goodbye,https://youtu.be/vciZvVJyNYU?si=74rYp4h3A5MHY3mG,45,15
billie,billie_012,i love you,https://youtu.be/WiinVuzh4DA?si=cStXSD0QnXw-9X_r,45,15
billie,billie_013,listen before i go,https://youtu.be/P4z1O3miesI?si=_QVWyyD82FLPOlT4,45,15
billie,billie_014,Billie Eilish - when the party's over,https://youtu.be/pbMwTqkKSps?si=7U542hOKZwaLKZ-Y,45,15
billie,billie_015,Billie Eilish - xanny (Official Music Video),https://youtu.be/LZyybvVx-js?si=p5qTJBhjme1r69RQ,45,15
einaudi,einaudi_001,Ludovico Einaudi - Rose Bay,https://youtu.be/TKzDeyvuKbg?si=lT9uQ1dp3qdkuq-H,45,15
einaudi,einaudi_002,Einaudi: I Giorni,https://youtu.be/TL1v3KVi6go?si=AGnTwLa6AYt0yZUG,45,15
einaudi,einaudi_003,Einaudi: Una Mattina,https://youtu.be/94-PAIMDhaQ?si=1dAyszY5yfTPCg4S,45,15
einaudi,einaudi_004,Ludovico Einaudi - Einaudi: Fly (Official Visualiser),https://youtu.be/5LRwYKpV-6A?si=n_8ssCbPz0anmZSC,45,15
einaudi,einaudi_005,Ludovico Einaudi - Episode One,https://youtu.be/qECEPOwuW6Q?si=3dvO96n1BsQ5-mmu,45,15
einaudi,einaudi_006,Ludovico Einaudi - Experience (Official Visualizer),https://youtu.be/1e9B31FLT-s?si=sDkMBKA1Q4_VloCQ,45,15
einaudi,einaudi_007,Ludovico Einaudi - Jay,https://youtu.be/o7hTPDuAcEU?si=62QUZ98v2aNHLxn9,45,15
einaudi,einaudi_008,Ludovico Einaudi - Maria Callas,https://youtu.be/Dbm3RkTO4e4?si=DNZ663Tur_SLKwN8,45,15
einaudi,einaudi_009,Ludovico Einaudi - Nuvole Bianche (Official Visualiser),https://youtu.be/sR2W2scFS4Y?si=twBUXU7h29HrOHyb,45,15
einaudi,einaudi_010,Ludovico Einaudi - Divenire (Official Audio),https://youtu.be/TCGvZCbcE0Q?si=23ukD3Ucekh7p9_v,45,15
einaudi,einaudi_011,Primavera,https://youtu.be/n-Jl71LY5tc?si=3HF9hn5j6827daMj,45,15
einaudi,einaudi_012,Einaudi: Le Onde,https://youtu.be/18o1806rUsE?si=NQcKxiIv1qwqDa-_,45,15
einaudi,einaudi_013,Einaudi: Elegy For The Arctic,https://youtu.be/L45x2L66XP8?si=IFZltJ_3lNrfOV2z,45,15
einaudi,einaudi_014,Ludovico Einaudi - Night (Official Video),https://youtu.be/k9NM-yK1C2I?si=1kOYqCI8BpU31Lh1,45,15
einaudi,einaudi_015,Einaudi: Berlin Song,https://youtu.be/vl8X6ofmSnw?si=v7p1tID36ly0Gr6-,45,15
